sample_id	population	superpopulation	ont_hap1_modbed_mb	ont_hap2_modbed_mb	has_pacbio_methylc	has_fiberseq	has_hic	has_isoseq_expression	has_harmonized_sup5_basecall	had_guppy_raw	had_dorado06_raw	assembly_naming	assembly_hap1_url	assembly_hap2_url	in_asm_lr_18donor_cohort	in_asm_lr_30donor_plan
HG01940	PEL	AMR	3341.5	3391.2	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01940/assemblies/release2/HG01940_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01940/assemblies/release2/HG01940_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01943	PEL	AMR	2695.2	2895.8	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01943/assemblies/release2/HG01943_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01943/assemblies/release2/HG01943_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01952	PEL	AMR	2689.1	2705.0	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01952/assemblies/release2/HG01952_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01952/assemblies/release2/HG01952_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01960	ACB	AFR	2192.6	2205.0	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01960/assemblies/release2/HG01960_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01960/assemblies/release2/HG01960_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01969	PEL	AMR	2707.1	2728.4	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01969/assemblies/release2/HG01969_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01969/assemblies/release2/HG01969_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01975	PEL	AMR	3417.9	3563.6	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01975/assemblies/release2/HG01975_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01975/assemblies/release2/HG01975_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01978	PEL	AMR	2689.6	2684.9	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01978/assemblies/release2/HG01978_pat_hprc_r2_v1.1.0.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01978/assemblies/release2/HG01978_mat_hprc_r2_v1.1.0.fa.gz	False	False
HG01981	PEL	AMR	2832.7	2737.3	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01981/assemblies/release2/HG01981_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01981/assemblies/release2/HG01981_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG01993	PEL	AMR	3091.2	3096.6	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01993/assemblies/release2/HG01993_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG01993/assemblies/release2/HG01993_mat_hprc_r2_v1.0.1.fa.gz	False	False
HG02004	PEL	AMR	2967.6	2972.1	True	False	True	True	True	True	False	trio	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02004/assemblies/release2/HG02004_pat_hprc_r2_v1.0.1.fa.gz	https://human-pangenomics.s3.amazonaws.com/working/HPRC/HG02004/assemblies/release2/HG02004_mat_hprc_r2_v1.0.1.fa.gz	False	False
